NPA/PLZ;PLZ_NAME;NAME;KT;MedStat;empty;empty2
1000;1000 Lausanne 25;Lausanne 25;VD;VD02;;
1001;1001 Lausanne;Lausanne;VD;VD03;;
1002;1002 Lausanne;Lausanne;VD;VD03;;
1003;1003 Lausanne;Lausanne;VD;VD03;;
1004;1004 Lausanne;Lausanne;VD;VD04;;
1005;1005 Lausanne;Lausanne;VD;VD03;;
1006;1006 Lausanne;Lausanne;VD;VD05;;
1007;1007 Lausanne;Lausanne;VD;VD06;;
1008;1008 Prilly;Prilly;VD;VD07;;
1009;1009 Pully;Pully;VD;VD08;;
1010;1010 Lausanne;Lausanne;VD;VD09;;
1011;1011 Lausanne;Lausanne;VD;VD03;;
1012;1012 Lausanne;Lausanne;VD;VD10;;
1014;1014 Lausanne Adm cant VD;Lausanne Adm cant VD;VD;VD03;;
1015;1015 Lausanne;Lausanne;VD;VD13;;
1017;1017 Lausanne Charles Veillon SA;Lausanne Charles Veillon SA;VD;VD14;;
1018;1018 Lausanne;Lausanne;VD;VD11;;
1019;1019 Lausanne Services spéciaux;Lausanne Services spéciaux;VD;VD03;;
1020;1020 Renens VD;Renens VD;VD;VD12;;
1022;1022 Chavannes-près-Renens;Chavannes-près-Renens;VD;VD13;;
1023;1023 Crissier;Crissier;VD;VD14;;
1024;1024 Ecublens VD;Ecublens VD;VD;VD13;;
1025;1025 St-Sulpice VD;St-Sulpice VD;VD;VD13;;
1026;1026 Denges;Denges;VD;VD19;;
1027;1027 Lonay;Lonay;VD;VD19;;
1028;1028 Préverenges;Préverenges;VD;VD19;;
1029;1029 Villars-Ste-Croix;Villars-Ste-Croix;VD;VD14;;
1030;1030 Bussigny;Bussigny;VD;VD14;;
1031;1031 Mex VD;Mex VD;VD;VD46;;
1032;1032 Romanel-sur-Lausanne;Romanel-sur-Lausanne;VD;VD15;;
1033;1033 Cheseaux-sur-Lausanne;Cheseaux-sur-Lausanne;VD;VD15;;
1034;1034 Boussens;Boussens;VD;VD46;;
1035;1035 Bournens;Bournens;VD;VD46;;
1036;1036 Sullens;Sullens;VD;VD46;;
1037;1037 Etagnières;Etagnières;VD;VD47;;
1038;1038 Bercher;Bercher;VD;VD48;;
1039;1039 Cheseaux Polyval;Cheseaux Polyval;VD;VD15;;
1040;1040 Echallens;Echallens;VD;VD47;;
1041;1041 Dommartin;Dommartin;VD;VD48;;
1042;1042 Assens;Assens;VD;VD47;;
1043;1043 Sugnens;Sugnens;VD;VD48;;
1044;1044 Fey;Fey;VD;VD48;;
1045;1045 Ogens;Ogens;VD;VD60;;
1046;1046 Rueyres;Rueyres;VD;VD48;;
1047;1047 Oppens;Oppens;VD;VD54;;
1051;1051 Le Mont-sur-Lausanne Poly;Le Mont-sur-Lausanne Poly;VD;VD16;;
1052;1052 Le Mont-sur-Lausanne;Le Mont-sur-Lausanne;VD;VD16;;
1053;1053 Cugy VD;Cugy VD;VD;VD16;;
1054;1054 Morrens VD;Morrens VD;VD;VD16;;
1055;1055 Froideville;Froideville;VD;VD16;;
1058;1058 Villars-Tiercelin;Villars-Tiercelin;VD;VD48;;
1059;1059 Peney-le-Jorat;Peney-le-Jorat;VD;VD61;;
1061;1061 Villars-Mendraz;Villars-Mendraz;VD;VD61;;
1062;1062 Sottens;Sottens;VD;VD60;;
1063;1063 Chapelle-sur-Moudon;Chapelle-sur-Moudon;VD;VD60;;
1064;1064 St-Cierges;St-Cierges;VD;VD60;;
1066;1066 Epalinges;Epalinges;VD;VD02;;
1068;1068 Les Monts-de-Pully;Les Monts-de-Pully;VD;VD02;;
1070;1070 Puidoux;Puidoux;VD;VD32;;
1071;1071 Chexbres;Chexbres;VD;VD32;;
1072;1072 Forel (Lavaux);Forel (Lavaux);VD;VD33;;
1073;1073 Savigny;Savigny;VD;VD17;;
1074;1074 Mollie-Margot;Mollie-Margot;VD;VD17;;
1076;1076 Ferlens VD;Ferlens VD;VD;VD61;;
1077;1077 Servion;Servion;VD;VD61;;
1078;1078 Essertes;Essertes;VD;VD62;;
1080;1080 Les Cullayes;Les Cullayes;VD;VD61;;
1081;1081 Montpreveyres;Montpreveyres;VD;VD61;;
1082;1082 Corcelles-le-Jorat;Corcelles-le-Jorat;VD;VD61;;
1083;1083 Mézières VD;Mézières VD;VD;VD61;;
1084;1084 Carrouge VD;Carrouge VD;VD;VD61;;
1085;1085 Vulliens;Vulliens;VD;VD61;;
1086;1086 Vucherens;Vucherens;VD;VD61;;
1088;1088 Ropraz;Ropraz;VD;VD61;;
1090;1090 La Croix (Lutry);La Croix (Lutry);VD;VD17;;
1091;1091 Grandvaux;Grandvaux;VD;VD33;;
1092;1092 Belmont-sur-Lausanne;Belmont-sur-Lausanne;VD;VD17;;
1093;1093 La Conversion;La Conversion;VD;VD18;;
1094;1094 Paudex;Paudex;VD;VD18;;
1095;1095 Lutry;Lutry;VD;VD18;;
1096;1096 Cully;Cully;VD;VD33;;
1097;1097 Riex;Riex;VD;VD33;;
1098;1098 Epesses;Epesses;VD;VD33;;
1099;1099 Montpreveyres Fotolabo Club;Montpreveyres Fotolabo Club;VD;VD61;;
1110;1110 Morges;Morges;VD;VD20;;
1112;1112 Echichens;Echichens;VD;VD21;;
1113;1113 St-Saphorin-sur-Morges;St-Saphorin-sur-Morges;VD;VD21;;
1114;1114 Colombier VD;Colombier VD;VD;VD21;;
1115;1115 Vullierens;Vullierens;VD;VD21;;
1116;1116 Cottens VD;Cottens VD;VD;VD49;;
1117;1117 Grancy;Grancy;VD;VD49;;
1118;1118 Senarclens;Senarclens;VD;VD49;;
1121;1121 Bremblens;Bremblens;VD;VD21;;
1122;1122 Romanel-sur-Morges;Romanel-sur-Morges;VD;VD21;;
1123;1123 Aclens;Aclens;VD;VD21;;
1124;1124 Gollion;Gollion;VD;VD49;;
1125;1125 Monnaz;Monnaz;VD;VD21;;
