REC_ART;ONRP;BFSNR;PLZ_TYP;POSTLEITZAHL;PLZ_ZZ;GPLZ;ORTBEZ18;ORTBEZ27;KANTON;SPRACHCODE;SPRACHCODE_ ABW;BRIEFZ_DURCH;GILT_AB_DAT;PLZ_BRIEFZUST;PLZ_COFF;Geo Shape;Geokoordinaten
1;104;5586;20;1000;0;1000;Lausanne;Lausanne;VD;2;;130;1988-03-01;100060;N;;
1;106;5586;80;1000;2;1000;Lausanne 2;Lausanne 2;VD;2;;149;1986-05-21;100200;;;
1;114;5586;30;1000;12;1000;Lausanne 12;Lausanne 12;VD;2;;114;1994-06-21;100012;;;
1;117;5586;30;1000;16;1000;Lausanne 16;Lausanne 16;VD;2;;117;1986-05-21;100016;;;
1;122;5586;30;1000;22;1000;Lausanne 22;Lausanne 22;VD;2;;122;1986-05-21;100022;;;
1;124;5586;80;1000;24;1000;Lausanne 24;Lausanne 24 Vennes;VD;2;;130;1993-09-06;100060;;;
1;150;5586;20;1003;0;1000;Lausanne;Lausanne;VD;2;;130;1986-05-21;100060;J;;
1;152;5586;20;1005;0;1000;Lausanne;Lausanne;VD;2;;130;1986-05-21;100060;J;;
1;157;5590;10;1009;0;1000;Pully;Pully;VD;2;;130;1996-06-10;100060;J;;
1;158;5586;20;1010;0;1000;Lausanne;Lausanne;VD;2;;130;1986-05-21;100060;J;;
1;160;5586;20;1012;0;1000;Lausanne;Lausanne;VD;2;;130;1986-05-21;100060;J;;
1;162;5586;40;1014;0;1000;Lausanne Adm cant;Lausanne Adm cant VD;VD;2;;130;1987-12-15;100060;;;
1;167;5591;80;1020;2;1020;Renens VD Village;Renens VD Village;VD;2;;167;1996-06-10;102002;;;
1;169;5583;20;1023;0;1023;Crissier;Crissier;VD;2;;7172;2001-09-12;102360;J;;
1;170;5635;10;1024;0;1024;Ecublens VD;Ecublens VD;VD;2;;7172;1986-05-21;102360;J;;
1;173;5633;30;1026;0;1026;Echandens-Denges;Echandens-Denges;VD;2;;173;1999-04-20;102600;;;
1;174;5638;20;1027;0;1027;Lonay;Lonay;VD;2;;6256;1993-04-27;111060;J;;
1;178;5624;10;1030;0;1030;Bussigny;Bussigny;VD;2;;7171;1989-03-08;103060;J;;
1;179;5592;10;1032;0;1032;Romanel-s-Lausanne;Romanel-sur-Lausanne;VD;2;;7497;1999-09-08;103360;J;;
1;182;5521;10;1037;0;1037;Etagnières;Etagnières;VD;2;;7497;1996-08-06;103360;J;;
1;185;5518;10;1040;0;1040;Echallens;Echallens;VD;2;;7670;1996-08-06;104060;J;;
1;195;5520;20;1417;2;1417;Epautheyres;Epautheyres;VD;2;;658;1990-05-01;144500;J;;
1;198;5661;20;1063;3;1063;Boulens;Boulens;VD;2;;7661;2001-08-13;151060;J;;
1;199;5540;20;1041;31;1041;Poliez-le-Grand;Poliez-le-Grand;VD;2;;7670;1996-08-06;104060;J;;
1;207;5501;20;1036;0;1036;Sullens;Sullens;VD;2;;7171;1988-05-29;103060;J;;
1;208;5511;10;1042;0;1042;Assens;Assens;VD;2;;7670;1996-08-06;104060;J;;
1;212;5903;20;1407;4;1407;Bioley-Magnoux;Bioley-Magnoux;VD;2;;6257;2000-06-01;140060;J;;
1;213;5513;20;1042;3;1042;Bioley-Orjulaz;Bioley-Orjulaz;VD;2;;7670;1999-12-09;104060;J;;
1;226;5588;10;1094;0;1094;Paudex;Paudex;VD;2;;7649;1986-05-21;109560;J;;
1;228;5613;10;1096;0;1096;Cully;Cully;VD;2;;7649;1986-05-21;109560;J;;
1;233;5804;20;1058;0;1058;Villars-Tiercelin;Villars-Tiercelin;VD;2;;217;1988-05-29;105500;J;;
1;237;5693;20;1063;0;1063;Chapelle-s-Moudon;Chapelle-sur-Moudon;VD;2;;7661;1989-08-18;151060;J;;
1;238;5693;20;1410;5;1410;St-Cierges;St-Cierges;VD;2;;7661;1988-05-29;151060;J;;
1;240;5799;20;1080;0;1080;Les Cullayes;Les Cullayes;VD;2;;8365;1988-05-29;160760;J;;
1;241;5792;10;1081;0;1081;Montpreveyres;Montpreveyres;VD;2;;243;1988-05-29;108800;J;;
1;246;5692;20;1509;0;1509;Vucherens;Vucherens;VD;2;;7661;1988-05-29;151060;J;;
1;248;5806;20;1076;0;1076;Ferlens VD;Ferlens VD;VD;2;;8365;1996-05-08;160760;J;;
1;254;5642;20;1110;0;1110;Morges;Morges;VD;2;;6256;1986-05-21;111060;J;;
1;255;5642;30;1110;1;1110;Morges 1;Morges 1;VD;2;;255;1986-05-21;111001;;;
1;260;5640;20;1167;0;1167;Lussy-sur-Morges;Lussy-sur-Morges;VD;2;;8008;1996-08-06;116260;J;;
1;263;5634;20;1125;0;1125;Monnaz;Monnaz;VD;2;;6256;1988-05-29;111060;J;;
1;264;5650;20;1126;0;1126;Vaux-sur-Morges;Vaux-sur-Morges;VD;2;;290;1992-06-18;114300;J;;
1;265;5629;20;1127;0;1127;Clarmont;Clarmont;VD;2;;290;1989-06-28;114300;J;;
1;267;5634;20;1113;0;1113;St-Saphorin-Morges;St-Saphorin-sur-Morges;VD;2;;290;1988-05-29;114300;J;;
1;268;5634;10;1114;0;1114;Colombier VD;Colombier VD;VD;2;;290;1988-05-29;114300;J;;
1;272;5499;20;1304;4;1304;Senarclens;Senarclens;VD;2;;9490;2001-03-01;130560;J;;
